,code_module,code_presentation,region,highest_education,imd_band,num_of_prev_attempts,studied_credits,disability,final_result
34,AAA,2013J,North Region,Post Graduate Qualification,,0,60,N,Pass
35,AAA,2013J,Yorkshire Region,HE Qualification,60-70%,0,60,N,Pass
36,AAA,2013J,Wales,HE Qualification,0-10%,0,60,N,Pass
37,AAA,2013J,East Anglian Region,A Level or Equivalent,70-80%,0,60,N,Pass
38,AAA,2013J,East Midlands Region,HE Qualification,30-40%,0,120,N,Pass
39,AAA,2013J,South Region,A Level or Equivalent,40-50%,0,60,N,Pass
40,AAA,2013J,East Midlands Region,A Level or Equivalent,40-50%,0,180,N,Pass
41,AAA,2013J,West Midlands Region,A Level or Equivalent,50-60%,0,60,N,Withdrawn
42,AAA,2013J,East Anglian Region,Lower Than A Level,80-90%,0,120,N,Pass
43,AAA,2013J,South East Region,A Level or Equivalent,90-100%,0,60,N,Distinction
44,AAA,2013J,East Anglian Region,Lower Than A Level,20-30%,0,180,N,Withdrawn
45,AAA,2013J,South East Region,Lower Than A Level,90-100%,0,60,Y,Withdrawn
46,AAA,2013J,South West Region,A Level or Equivalent,40-50%,0,60,N,Pass
47,AAA,2013J,East Midlands Region,A Level or Equivalent,30-40%,0,240,N,Pass
48,AAA,2013J,South West Region,A Level or Equivalent,90-100%,0,345,N,Withdrawn
49,AAA,2013J,North Region,A Level or Equivalent,50-60%,0,60,N,Pass
50,AAA,2013J,South Region,HE Qualification,80-90%,0,60,N,Pass
51,AAA,2013J,South West Region,HE Qualification,60-70%,0,120,N,Pass
52,AAA,2013J,West Midlands Region,A Level or Equivalent,20-30%,0,60,Y,Fail
53,AAA,2013J,North Region,Lower Than A Level,60-70%,0,120,N,Fail
54,AAA,2013J,North Region,Lower Than A Level,80-90%,0,90,N,Withdrawn
55,AAA,2013J,North Western Region,A Level or Equivalent,30-40%,0,60,Y,Withdrawn
56,AAA,2013J,London Region,A Level or Equivalent,80-90%,0,150,N,Pass
57,AAA,2013J,London Region,A Level or Equivalent,0-10%,0,420,N,Pass
58,AAA,2013J,East Midlands Region,A Level or Equivalent,20-30%,0,60,N,Pass
59,AAA,2013J,East Anglian Region,Lower Than A Level,70-80%,0,60,N,Withdrawn
60,AAA,2013J,South West Region,A Level or Equivalent,90-100%,0,60,N,Pass
61,AAA,2013J,East Midlands Region,A Level or Equivalent,40-50%,0,60,N,Withdrawn
62,AAA,2013J,Scotland,A Level or Equivalent,70-80%,0,60,N,Pass
63,AAA,2013J,Yorkshire Region,A Level or Equivalent,40-50%,0,60,N,Pass
64,AAA,2013J,West Midlands Region,Lower Than A Level,10-20,0,60,N,Pass
65,AAA,2013J,Ireland,HE Qualification,,0,60,N,Pass
66,AAA,2013J,Ireland,A Level or Equivalent,,0,60,N,Pass
67,AAA,2013J,East Anglian Region,HE Qualification,90-100%,0,60,N,Pass
68,AAA,2013J,North Region,HE Qualification,,0,60,N,Pass
69,AAA,2013J,North Western Region,HE Qualification,70-80%,0,60,N,Pass
70,AAA,2013J,North Western Region,A Level or Equivalent,80-90%,0,180,N,Fail
71,AAA,2013J,South West Region,A Level or Equivalent,30-40%,0,120,N,Pass
72,AAA,2013J,South West Region,A Level or Equivalent,80-90%,0,120,N,Withdrawn
73,AAA,2013J,South West Region,A Level or Equivalent,60-70%,0,60,N,Pass
74,AAA,2013J,London Region,A Level or Equivalent,10-20,0,180,N,Pass
75,AAA,2013J,South West Region,HE Qualification,80-90%,0,170,N,Pass
76,AAA,2013J,London Region,HE Qualification,10-20,0,120,N,Fail
77,AAA,2013J,Scotland,HE Qualification,30-40%,0,60,N,Pass
78,AAA,2013J,South East Region,A Level or Equivalent,50-60%,0,60,N,Distinction
79,AAA,2013J,Yorkshire Region,A Level or Equivalent,70-80%,0,120,N,Withdrawn
80,AAA,2013J,Scotland,A Level or Equivalent,90-100%,0,120,N,Pass
81,AAA,2013J,South West Region,Lower Than A Level,90-100%,0,60,N,Pass
82,AAA,2013J,London Region,A Level or Equivalent,90-100%,0,60,N,Withdrawn
83,AAA,2013J,London Region,Lower Than A Level,50-60%,0,60,N,Pass
84,AAA,2013J,Wales,A Level or Equivalent,30-40%,0,60,N,Withdrawn
85,AAA,2013J,South West Region,HE Qualification,80-90%,0,60,N,Pass
86,AAA,2013J,East Anglian Region,A Level or Equivalent,40-50%,0,90,Y,Fail
87,AAA,2013J,London Region,A Level or Equivalent,10-20,0,60,N,Distinction
88,AAA,2013J,Ireland,HE Qualification,,0,180,N,Fail
89,AAA,2013J,London Region,HE Qualification,60-70%,0,60,N,Pass
90,AAA,2013J,East Midlands Region,Lower Than A Level,50-60%,0,60,N,Pass
91,AAA,2013J,West Midlands Region,A Level or Equivalent,20-30%,0,60,N,Pass
92,AAA,2013J,East Midlands Region,A Level or Equivalent,50-60%,0,60,N,Pass
93,AAA,2013J,London Region,A Level or Equivalent,40-50%,0,240,N,Pass
94,AAA,2013J,Yorkshire Region,A Level or Equivalent,90-100%,0,240,N,Withdrawn
95,AAA,2013J,Scotland,Post Graduate Qualification,90-100%,0,60,N,Pass
96,AAA,2013J,South Region,HE Qualification,90-100%,0,60,N,Pass
97,AAA,2013J,London Region,HE Qualification,80-90%,0,80,N,Pass
98,AAA,2013J,South Region,A Level or Equivalent,90-100%,0,120,N,Pass
99,AAA,2013J,East Anglian Region,HE Qualification,90-100%,0,60,N,Pass
100,AAA,2013J,East Midlands Region,HE Qualification,60-70%,0,60,N,Fail
101,AAA,2013J,London Region,HE Qualification,20-30%,0,60,N,Pass
102,AAA,2013J,South West Region,A Level or Equivalent,90-100%,0,60,N,Pass
103,AAA,2013J,North Western Region,Lower Than A Level,20-30%,0,90,N,Pass
104,AAA,2013J,Wales,Lower Than A Level,20-30%,0,60,N,Pass
105,AAA,2013J,North Western Region,HE Qualification,10-20,0,120,N,Pass
106,AAA,2013J,West Midlands Region,Lower Than A Level,30-40%,0,60,N,Pass
107,AAA,2013J,East Anglian Region,Lower Than A Level,70-80%,0,60,N,Pass
108,AAA,2013J,London Region,A Level or Equivalent,80-90%,0,60,N,Withdrawn
109,AAA,2013J,East Midlands Region,A Level or Equivalent,20-30%,0,60,N,Pass
110,AAA,2013J,North Western Region,A Level or Equivalent,30-40%,0,60,N,Pass
111,AAA,2013J,East Anglian Region,A Level or Equivalent,10-20,0,90,N,Fail
112,AAA,2013J,East Anglian Region,A Level or Equivalent,30-40%,0,180,N,Withdrawn
113,AAA,2013J,Scotland,A Level or Equivalent,80-90%,0,60,N,Pass
114,AAA,2013J,South East Region,A Level or Equivalent,60-70%,0,60,N,Withdrawn
115,AAA,2013J,London Region,Lower Than A Level,40-50%,0,60,N,Distinction
116,AAA,2013J,Scotland,A Level or Equivalent,30-40%,0,150,N,Pass
117,AAA,2013J,Wales,Lower Than A Level,70-80%,0,60,N,Fail
118,AAA,2013J,North Western Region,HE Qualification,30-40%,0,60,N,Fail
119,AAA,2013J,South West Region,A Level or Equivalent,30-40%,0,60,N,Pass
120,AAA,2013J,South East Region,A Level or Equivalent,90-100%,0,60,N,Pass
121,AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,0,120,N,Pass
122,AAA,2013J,Wales,A Level or Equivalent,20-30%,0,60,N,Pass
123,AAA,2013J,North Western Region,A Level or Equivalent,30-40%,0,60,N,Pass
124,AAA,2013J,South East Region,A Level or Equivalent,90-100%,0,60,N,Distinction
125,AAA,2013J,South East Region,A Level or Equivalent,90-100%,0,180,N,Withdrawn
126,AAA,2013J,East Midlands Region,A Level or Equivalent,70-80%,0,120,N,Pass
127,AAA,2013J,South East Region,HE Qualification,90-100%,0,60,N,Pass
128,AAA,2013J,South East Region,A Level or Equivalent,90-100%,0,60,N,Pass
129,AAA,2013J,South East Region,A Level or Equivalent,40-50%,0,240,N,Fail
130,AAA,2013J,South Region,Post Graduate Qualification,90-100%,0,60,N,Distinction
131,AAA,2013J,South East Region,HE Qualification,80-90%,0,60,N,Pass
132,AAA,2013J,West Midlands Region,A Level or Equivalent,30-40%,0,60,N,Pass
133,AAA,2013J,East Anglian Region,A Level or Equivalent,40-50%,0,60,N,Fail
134,AAA,2013J,North Western Region,A Level or Equivalent,70-80%,0,60,N,Fail
135,AAA,2013J,West Midlands Region,A Level or Equivalent,70-80%,0,120,Y,Pass
136,AAA,2013J,Wales,Lower Than A Level,80-90%,0,120,N,Withdrawn
137,AAA,2013J,West Midlands Region,A Level or Equivalent,50-60%,0,120,N,Pass
138,AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,0,60,N,Pass
139,AAA,2013J,London Region,A Level or Equivalent,10-20,0,60,N,Pass
140,AAA,2013J,East Midlands Region,HE Qualification,10-20,0,60,N,Pass
141,AAA,2013J,West Midlands Region,A Level or Equivalent,70-80%,0,60,N,Pass
142,AAA,2013J,South West Region,A Level or Equivalent,60-70%,0,120,N,Pass
143,AAA,2013J,South Region,Post Graduate Qualification,90-100%,0,60,N,Distinction
144,AAA,2013J,South Region,A Level or Equivalent,90-100%,0,60,N,Pass
145,AAA,2013J,East Anglian Region,HE Qualification,80-90%,0,120,N,Pass
146,AAA,2013J,East Midlands Region,A Level or Equivalent,50-60%,0,60,N,Pass
147,AAA,2013J,South Region,HE Qualification,90-100%,0,60,N,Pass
148,AAA,2013J,East Anglian Region,HE Qualification,40-50%,0,60,N,Pass
149,AAA,2013J,South West Region,A Level or Equivalent,10-20,0,60,N,Pass
150,AAA,2013J,South East Region,A Level or Equivalent,90-100%,0,120,N,Pass
151,AAA,2013J,South Region,HE Qualification,90-100%,0,60,N,Withdrawn
152,AAA,2013J,East Anglian Region,A Level or Equivalent,60-70%,0,60,N,Pass
153,AAA,2013J,Scotland,A Level or Equivalent,20-30%,0,120,N,Pass
154,AAA,2013J,Scotland,HE Qualification,80-90%,0,60,N,Pass
155,AAA,2013J,London Region,A Level or Equivalent,50-60%,0,150,N,Fail
156,AAA,2013J,South West Region,A Level or Equivalent,0-10%,0,240,Y,Withdrawn
157,AAA,2013J,South East Region,A Level or Equivalent,20-30%,0,60,N,Withdrawn
158,AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,0,120,N,Pass
159,AAA,2013J,North Region,A Level or Equivalent,80-90%,0,60,N,Pass
160,AAA,2013J,East Anglian Region,Lower Than A Level,40-50%,0,180,N,Fail
161,AAA,2013J,West Midlands Region,HE Qualification,70-80%,0,60,N,Withdrawn
162,AAA,2013J,Scotland,Lower Than A Level,50-60%,0,60,N,Pass
163,AAA,2013J,Yorkshire Region,HE Qualification,0-10%,0,60,N,Pass
164,AAA,2013J,Ireland,HE Qualification,70-80%,0,120,N,Pass
165,AAA,2013J,Yorkshire Region,A Level or Equivalent,10-20,0,60,N,Fail
166,AAA,2013J,East Anglian Region,A Level or Equivalent,60-70%,0,180,Y,Pass
167,AAA,2013J,Yorkshire Region,A Level or Equivalent,30-40%,0,60,N,Distinction
168,AAA,2013J,East Anglian Region,A Level or Equivalent,50-60%,0,120,N,Pass
169,AAA,2013J,Scotland,HE Qualification,50-60%,0,120,N,Fail
170,AAA,2013J,North Western Region,HE Qualification,80-90%,0,60,N,Pass
171,AAA,2013J,South Region,HE Qualification,90-100%,0,120,N,Withdrawn
172,AAA,2013J,Yorkshire Region,A Level or Equivalent,10-20,0,60,N,Fail
173,AAA,2013J,East Anglian Region,Lower Than A Level,70-80%,0,60,N,Fail
174,AAA,2013J,London Region,A Level or Equivalent,0-10%,0,120,N,Pass
175,AAA,2013J,East Anglian Region,Lower Than A Level,10-20,0,60,N,Pass
176,AAA,2013J,South West Region,HE Qualification,40-50%,0,60,N,Pass
177,AAA,2013J,South West Region,A Level or Equivalent,50-60%,0,120,Y,Pass
178,AAA,2013J,Wales,HE Qualification,50-60%,0,120,N,Fail
179,AAA,2013J,Yorkshire Region,Lower Than A Level,0-10%,0,180,N,Pass
180,AAA,2013J,North Region,HE Qualification,,0,60,N,Distinction
181,AAA,2013J,South Region,A Level or Equivalent,80-90%,0,60,N,Pass
182,AAA,2013J,East Midlands Region,A Level or Equivalent,80-90%,0,60,N,Pass
183,AAA,2013J,Yorkshire Region,A Level or Equivalent,90-100%,0,120,N,Pass
184,AAA,2013J,Ireland,Lower Than A Level,,0,120,N,Pass
185,AAA,2013J,Yorkshire Region,A Level or Equivalent,70-80%,0,120,N,Pass
186,AAA,2013J,London Region,Lower Than A Level,80-90%,0,60,N,Pass
187,AAA,2013J,South West Region,A Level or Equivalent,90-100%,0,60,N,Pass
188,AAA,2013J,Scotland,A Level or Equivalent,0-10%,0,90,N,Withdrawn
189,AAA,2013J,West Midlands Region,A Level or Equivalent,70-80%,0,120,N,Fail
190,AAA,2013J,North Western Region,A Level or Equivalent,50-60%,0,120,N,Pass
191,AAA,2013J,North Western Region,A Level or Equivalent,60-70%,0,60,N,Pass
192,AAA,2013J,Yorkshire Region,HE Qualification,50-60%,0,180,N,Pass
193,AAA,2013J,Yorkshire Region,Lower Than A Level,90-100%,0,240,N,Fail
194,AAA,2013J,South East Region,Lower Than A Level,80-90%,0,60,N,Pass
195,AAA,2013J,South West Region,Lower Than A Level,50-60%,0,60,N,Pass
196,AAA,2013J,Wales,Lower Than A Level,20-30%,0,120,N,Pass
197,AAA,2013J,North Region,A Level or Equivalent,20-30%,0,120,N,Pass
198,AAA,2013J,Scotland,A Level or Equivalent,90-100%,0,240,Y,Withdrawn
199,AAA,2013J,Yorkshire Region,A Level or Equivalent,50-60%,0,120,N,Pass
200,AAA,2013J,West Midlands Region,HE Qualification,0-10%,0,90,N,Withdrawn
201,AAA,2013J,Scotland,A Level or Equivalent,40-50%,0,60,Y,Fail
202,AAA,2013J,North Western Region,A Level or Equivalent,70-80%,0,60,N,Pass
203,AAA,2013J,South East Region,A Level or Equivalent,70-80%,0,150,N,Pass
204,AAA,2013J,London Region,A Level or Equivalent,20-30%,0,120,N,Pass
205,AAA,2013J,South West Region,HE Qualification,80-90%,0,120,N,Withdrawn
206,AAA,2013J,London Region,HE Qualification,30-40%,0,60,N,Distinction
207,AAA,2013J,South East Region,HE Qualification,90-100%,0,60,N,Withdrawn
208,AAA,2013J,South West Region,A Level or Equivalent,20-30%,0,60,N,Pass
209,AAA,2013J,North Region,A Level or Equivalent,80-90%,0,60,N,Fail
210,AAA,2013J,South East Region,HE Qualification,80-90%,0,120,N,Pass
211,AAA,2013J,North Western Region,HE Qualification,80-90%,0,60,N,Pass
212,AAA,2013J,London Region,A Level or Equivalent,40-50%,0,120,N,Pass
213,AAA,2013J,South East Region,HE Qualification,90-100%,0,120,N,Pass
214,AAA,2013J,North Western Region,HE Qualification,40-50%,0,120,N,Pass
215,AAA,2013J,South East Region,HE Qualification,60-70%,0,60,N,Pass
216,AAA,2013J,West Midlands Region,HE Qualification,80-90%,0,120,N,Fail
217,AAA,2013J,Scotland,HE Qualification,30-40%,0,60,N,Withdrawn
218,AAA,2013J,West Midlands Region,HE Qualification,70-80%,0,120,N,Pass
219,AAA,2013J,Ireland,HE Qualification,90-100%,0,120,N,Pass
220,AAA,2013J,East Anglian Region,A Level or Equivalent,30-40%,0,120,N,Fail
221,AAA,2013J,South West Region,A Level or Equivalent,90-100%,0,120,N,Pass
222,AAA,2013J,South Region,Post Graduate Qualification,90-100%,0,60,N,Pass
223,AAA,2013J,North Region,HE Qualification,,0,60,N,Withdrawn
224,AAA,2013J,Scotland,Post Graduate Qualification,90-100%,0,60,N,Fail
225,AAA,2013J,South Region,HE Qualification,90-100%,0,120,N,Pass
226,AAA,2013J,West Midlands Region,A Level or Equivalent,60-70%,0,120,N,Distinction
227,AAA,2013J,South Region,Lower Than A Level,50-60%,0,120,N,Withdrawn
228,AAA,2013J,South Region,Lower Than A Level,70-80%,0,60,N,Pass
229,AAA,2013J,West Midlands Region,A Level or Equivalent,60-70%,0,60,N,Distinction
230,AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,0,60,N,Pass
231,AAA,2013J,South West Region,A Level or Equivalent,50-60%,0,60,N,Pass
232,AAA,2013J,North Western Region,HE Qualification,40-50%,0,60,N,Pass
233,AAA,2013J,East Anglian Region,A Level or Equivalent,40-50%,0,60,N,Pass
234,AAA,2013J,South West Region,A Level or Equivalent,80-90%,0,180,N,Withdrawn
235,AAA,2013J,West Midlands Region,HE Qualification,90-100%,0,60,N,Pass
236,AAA,2013J,South Region,HE Qualification,90-100%,0,60,N,Pass
237,AAA,2013J,London Region,Lower Than A Level,30-40%,0,60,N,Pass
238,AAA,2013J,Scotland,HE Qualification,80-90%,0,60,N,Pass
239,AAA,2013J,Yorkshire Region,A Level or Equivalent,20-30%,0,60,N,Withdrawn
240,AAA,2013J,West Midlands Region,A Level or Equivalent,70-80%,0,60,N,Fail
241,AAA,2013J,East Midlands Region,HE Qualification,30-40%,0,60,N,Pass
242,AAA,2013J,Yorkshire Region,A Level or Equivalent,10-20,0,120,N,Fail
243,AAA,2013J,South West Region,A Level or Equivalent,90-100%,0,60,N,Withdrawn
244,AAA,2013J,West Midlands Region,HE Qualification,40-50%,0,120,N,Pass
245,AAA,2013J,East Anglian Region,Lower Than A Level,40-50%,0,60,Y,Fail
246,AAA,2013J,London Region,A Level or Equivalent,70-80%,0,60,N,Pass
247,AAA,2013J,South East Region,Lower Than A Level,80-90%,0,60,N,Pass
248,AAA,2013J,London Region,Lower Than A Level,90-100%,0,60,N,Pass
249,AAA,2013J,South Region,HE Qualification,90-100%,0,60,N,Fail
250,AAA,2013J,North Western Region,A Level or Equivalent,60-70%,0,60,N,Distinction
251,AAA,2013J,West Midlands Region,A Level or Equivalent,30-40%,0,60,N,Pass
252,AAA,2013J,North Western Region,Lower Than A Level,50-60%,0,60,N,Withdrawn
253,AAA,2013J,Scotland,HE Qualification,40-50%,0,60,N,Pass
254,AAA,2013J,East Anglian Region,A Level or Equivalent,60-70%,0,60,N,Pass
255,AAA,2013J,South Region,Lower Than A Level,30-40%,0,75,N,Withdrawn
256,AAA,2013J,Scotland,A Level or Equivalent,10-20,0,60,N,Withdrawn
257,AAA,2013J,South East Region,HE Qualification,70-80%,0,60,N,Pass
258,AAA,2013J,Ireland,HE Qualification,,0,60,N,Pass
259,AAA,2013J,Scotland,A Level or Equivalent,30-40%,0,60,N,Pass
260,AAA,2013J,South West Region,Lower Than A Level,40-50%,0,60,N,Pass
261,AAA,2013J,South West Region,Lower Than A Level,40-50%,0,300,Y,Pass
262,AAA,2013J,Yorkshire Region,A Level or Equivalent,50-60%,0,60,N,Pass
263,AAA,2013J,South Region,A Level or Equivalent,70-80%,0,60,Y,Pass
264,AAA,2013J,East Midlands Region,A Level or Equivalent,80-90%,0,60,N,Pass
265,AAA,2013J,South Region,A Level or Equivalent,90-100%,0,60,N,Pass
266,AAA,2013J,East Anglian Region,Lower Than A Level,40-50%,0,120,Y,Pass
267,AAA,2013J,West Midlands Region,Lower Than A Level,0-10%,0,60,N,Withdrawn
268,AAA,2013J,Ireland,Lower Than A Level,50-60%,0,120,N,Pass
269,AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,0,60,Y,Pass
270,AAA,2013J,North Western Region,Lower Than A Level,30-40%,0,60,N,Pass
271,AAA,2013J,South West Region,Lower Than A Level,70-80%,0,60,N,Pass
272,AAA,2013J,East Anglian Region,A Level or Equivalent,60-70%,0,60,N,Fail
273,AAA,2013J,London Region,A Level or Equivalent,30-40%,0,330,Y,Withdrawn
274,AAA,2013J,London Region,Lower Than A Level,30-40%,0,60,N,Withdrawn
275,AAA,2013J,South Region,A Level or Equivalent,90-100%,0,60,N,Pass
276,AAA,2013J,West Midlands Region,A Level or Equivalent,0-10%,0,120,N,Pass
277,AAA,2013J,South West Region,Lower Than A Level,50-60%,0,60,N,Fail
278,AAA,2013J,West Midlands Region,Lower Than A Level,0-10%,0,60,N,Pass
279,AAA,2013J,North Western Region,Lower Than A Level,80-90%,0,60,N,Distinction
280,AAA,2013J,London Region,A Level or Equivalent,50-60%,0,120,N,Withdrawn
281,AAA,2013J,South Region,Lower Than A Level,70-80%,0,60,N,Pass
282,AAA,2013J,North Western Region,HE Qualification,20-30%,0,60,N,Pass
283,AAA,2013J,Scotland,A Level or Equivalent,70-80%,0,60,Y,Withdrawn
284,AAA,2013J,Yorkshire Region,A Level or Equivalent,40-50%,0,60,N,Pass
285,AAA,2013J,West Midlands Region,Lower Than A Level,80-90%,0,60,Y,Pass
286,AAA,2013J,North Western Region,A Level or Equivalent,40-50%,0,120,N,Fail
287,AAA,2013J,Yorkshire Region,A Level or Equivalent,30-40%,0,60,N,Pass
288,AAA,2013J,London Region,A Level or Equivalent,70-80%,0,60,N,Pass
289,AAA,2013J,East Anglian Region,A Level or Equivalent,50-60%,0,60,N,Pass
290,AAA,2013J,North Western Region,HE Qualification,30-40%,0,60,N,Pass
291,AAA,2013J,Scotland,A Level or Equivalent,20-30%,0,60,N,Pass
292,AAA,2013J,West Midlands Region,A Level or Equivalent,10-20,0,60,N,Pass
293,AAA,2013J,South Region,A Level or Equivalent,80-90%,0,120,N,Withdrawn
294,AAA,2013J,East Midlands Region,A Level or Equivalent,20-30%,0,60,N,Pass
295,AAA,2013J,South Region,Lower Than A Level,30-40%,0,60,N,Pass
296,AAA,2013J,South Region,A Level or Equivalent,90-100%,0,150,N,Pass
297,AAA,2013J,East Midlands Region,HE Qualification,20-30%,0,60,N,Withdrawn
298,AAA,2013J,Wales,A Level or Equivalent,90-100%,0,60,N,Withdrawn
299,AAA,2013J,Scotland,HE Qualification,90-100%,0,60,N,Withdrawn
300,AAA,2013J,East Anglian Region,Lower Than A Level,40-50%,0,120,N,Pass
301,AAA,2013J,London Region,Lower Than A Level,40-50%,0,60,N,Distinction
302,AAA,2013J,Yorkshire Region,Lower Than A Level,20-30%,0,60,N,Fail
303,AAA,2013J,Yorkshire Region,A Level or Equivalent,60-70%,0,60,N,Fail
304,AAA,2013J,North Region,HE Qualification,,0,60,N,Fail
305,AAA,2013J,East Anglian Region,A Level or Equivalent,70-80%,0,180,N,Withdrawn
306,AAA,2013J,Scotland,HE Qualification,90-100%,0,60,Y,Pass
307,AAA,2013J,South East Region,HE Qualification,20-30%,0,300,N,Withdrawn
308,AAA,2013J,East Anglian Region,A Level or Equivalent,80-90%,0,120,N,Pass
309,AAA,2013J,London Region,Lower Than A Level,70-80%,0,60,N,Pass
310,AAA,2013J,East Midlands Region,A Level or Equivalent,20-30%,0,120,N,Pass
311,AAA,2013J,South Region,A Level or Equivalent,90-100%,0,60,N,Withdrawn
312,AAA,2013J,South Region,A Level or Equivalent,80-90%,0,120,N,Fail
313,AAA,2013J,Scotland,HE Qualification,20-30%,0,120,N,Withdrawn
314,AAA,2013J,South West Region,Lower Than A Level,50-60%,0,90,N,Distinction
315,AAA,2013J,South Region,A Level or Equivalent,80-90%,0,60,N,Pass
316,AAA,2013J,London Region,A Level or Equivalent,10-20,0,120,Y,Withdrawn
317,AAA,2013J,North Region,A Level or Equivalent,30-40%,0,60,N,Pass
318,AAA,2013J,East Midlands Region,A Level or Equivalent,30-40%,0,60,N,Pass
319,AAA,2013J,Scotland,Lower Than A Level,80-90%,0,120,N,Fail
320,AAA,2013J,South Region,Lower Than A Level,80-90%,0,180,N,Pass
321,AAA,2013J,London Region,Lower Than A Level,80-90%,0,60,N,Pass
322,AAA,2013J,Scotland,HE Qualification,90-100%,0,60,N,Pass
323,AAA,2013J,South Region,HE Qualification,70-80%,0,60,N,Fail
324,AAA,2013J,Yorkshire Region,Lower Than A Level,20-30%,0,60,N,Fail
325,AAA,2013J,Scotland,HE Qualification,50-60%,0,60,N,Withdrawn
326,AAA,2013J,North Western Region,A Level or Equivalent,40-50%,0,60,N,Pass
327,AAA,2013J,Wales,Lower Than A Level,80-90%,0,60,N,Pass
328,AAA,2013J,South Region,Lower Than A Level,90-100%,0,120,N,Pass
329,AAA,2013J,East Anglian Region,HE Qualification,90-100%,0,120,N,Pass
330,AAA,2013J,North Western Region,Lower Than A Level,40-50%,0,240,N,Pass
331,AAA,2013J,South East Region,HE Qualification,40-50%,0,60,N,Pass
332,AAA,2013J,East Midlands Region,A Level or Equivalent,90-100%,0,60,N,Pass
333,AAA,2013J,London Region,Lower Than A Level,10-20,0,60,N,Pass
334,AAA,2013J,North Western Region,A Level or Equivalent,20-30%,0,120,N,Pass
335,AAA,2013J,North Western Region,HE Qualification,60-70%,0,60,N,Pass
336,AAA,2013J,East Anglian Region,A Level or Equivalent,80-90%,0,60,N,Pass
337,AAA,2013J,South Region,HE Qualification,90-100%,0,60,N,Distinction
338,AAA,2013J,West Midlands Region,Lower Than A Level,40-50%,0,60,N,Withdrawn
339,AAA,2013J,North Region,HE Qualification,,0,60,N,Pass
340,AAA,2013J,South Region,Lower Than A Level,90-100%,0,60,N,Pass
341,AAA,2013J,South Region,HE Qualification,80-90%,0,120,N,Withdrawn
342,AAA,2013J,South Region,HE Qualification,90-100%,0,60,N,Pass
343,AAA,2013J,Yorkshire Region,HE Qualification,80-90%,0,60,N,Pass
344,AAA,2013J,South West Region,Lower Than A Level,30-40%,0,60,N,Pass
